vendor_code,unique_ram,revenue_per_unit,revenue_per_day,days
1,60,132.59640535380933,140.9289663459886,732
2,196,149.26949672824574,805.4843061155336,732
3,203,155.0985487149631,10754.674366576191,44
4,101,142.14018389055997,2142.6316608688117,27
5,276,165.86694163535245,4451.104223885322,486
7,246,212.26100345757052,5106.732967064582,732
8,114,155.82362828970355,997.1009220067915,732
9,82,214.3881924475494,514.147969359671,447
10,293,204.87117406568865,5174.396538424114,732
11,20,284.83734242425254,238.18295013062496,116
12,24,433.7267789241333,1518.0437262344667,38
13,209,126.13848137778967,933.4592262615938,732
14,92,145.0984506107203,746.503777322367,732
15,79,156.23207095622917,3003.747554694168,252
16,295,177.21142881654117,5158.195089385716,660
17,322,312.75227614175253,1115.141312472642,732
18,187,321.8027401560409,784.9169434996182,731
20,109,121.00244891340486,535.2540021606625,732
21,92,400.5495725366321,552.6708582814186,732
22,238,343.72565837541015,1959.1055585731553,526
23,137,487.5799849055568,2688.6553453363563,175
24,137,518.2478191084118,2869.6122098060064,175
25,190,196.18829621420156,6107.893440731197,128
26,99,128.14410047522313,172.14433196534762,731
27,16,140.57080808081002,114.22580027359938,731
28,197,98.24203430880759,433.49968690908264,732
29,48,146.8190771544762,92.86507202530393,732
30,393,152.59892521302356,11813.700126908241,732
31,48,90.43774070435,997.0550917900631,323
33,302,187.25967044045439,1813.246644920684,732
34,47,176.4339389762287,529.3018169286861,50
35,52,117.29739123437759,243.84536537367453,317
36,72,200.78617161493514,323.7808421853404,191
37,51,111.53252156650265,183.4496666203131,732
38,50,152.52597956231457,1085.9849744836797,150
39,544,356.6287044281147,6483.714749452318,731
40,189,137.33079857266466,1250.8181105918193,657
41,41,227.83747742663118,2553.8991655729355,43
42,110,137.56026853586877,5105.678952468984,69
43,774,206.7747860723548,70762.17351129667,732
44,4,114.99000000000001,804.9300000000001,1
45,779,200.99334349761503,21836.05961973748,732
46,370,158.72457403837396,3592.7697639915546,732
47,1251,160.3577796598315,26603.39945916704,732
48,176,129.78920854513765,198.93919670443228,732
49,686,244.99745090400134,1611.754776193355,731
50,1084,158.98664412622284,12396.179954726835,732
51,500,208.53211280507142,5713.9510526478525,731
52,905,174.09651326946317,12029.807088582564,731
53,218,239.78759619384155,6498.022854460301,434
55,370,109.0803481810088,1328.1873542859719,732
56,275,228.97335809468854,1169.2655909261553,732
57,260,168.01527946267143,4150.115120170167,732
58,309,164.66363224975734,1670.9309567639311,732
59,271,256.41586098332056,8092.121258607135,367
60,40,127.00598951641776,327.15769939728403,731
61,10,100.6630866249255,42.34240945334167,252
62,210,137.9727489162536,5244.472357712897,732
63,498,202.76339942546187,13141.102079785443,658
64,166,159.22193974675733,973.1679759931588,732
65,224,158.06759958434367,2897.905992379634,732
66,14,123.81139783160748,29.164462600334208,225
67,117,183.98817084244143,493.65132176851773,732
69,60,159.00951383907156,408.38509018777944,732
70,176,282.1651594123334,4544.482722976866,643
71,235,229.09841929629465,1061.6145331325567,732
72,6,285.9779186701617,1215.4061543481873,16
73,97,174.00126180296633,828.3060066172242,580
74,231,174.97513090691953,3257.5971092889336,732
75,218,238.41865620447606,4367.224273967705,63
76,283,225.06546453543794,1099.1569198242319,731
77,15,116.11910572823031,12.072574603755818,731
78,128,110.63574167210129,618.4719329538777,732
79,270,153.70646576138213,1613.7079089839094,732
80,373,143.23630981072324,6039.40637431443,732
81,6,150.410315175603,62.365252633786604,82
