,vendor_code,name
0,1,1stWave Technologies
1,2,Adorama
2,3,Alternate
3,4,Alternate Italia
4,5,Alza
6,7,Aquila Technology
7,8,Aria PC
8,9,ARLT
9,10,Ascent Technology
10,11,AWD-IT
11,12,AX86 Gaming Systems
12,13,B H
13,14,Best Buy
14,15,Box Limited
15,16,BT Shop
16,17,Bytes At Work
17,18,Caseking
19,20,Centre Com
20,21,Computer Lounge
21,22,Corsair
22,23,Corsair DE
23,24,Corsair UK
24,25,Custompcparts
25,26,Dell
26,27,Dell Small Business
27,28,Directron
28,29,DTC Systems
29,30,Ebuyer
30,31,Electronicamente
31,32,geizhals_unknown
32,33,IJK
33,34,JW Computers
34,35,Kogan
35,36,Komplett
36,37,Kustom PCs
37,38,Laptops Direct
38,39,LDLC
39,40,Memory Express
40,41,Mighty Ape
41,42,Mike's Computer Shop
42,43,Mindfactory
43,44,Monoprice
44,45,More Computers
45,46,Mwave Australia
46,47,Newegg
47,48,Newegg Australia
48,49,Newegg Business
49,50,Newegg Canada
50,51,Newegg Canada Marketplace
51,52,Newegg Marketplace
52,53,Novatech
54,55,OutletPC
55,56,Overclockers.co.uk
56,57,Paradigm PCs
57,58,PB Technologies
58,59,PC Componentes
59,60,PC Force
60,61,PC World
61,62,PC World Business
62,63,PC-Canada
63,64,PCCaseGear
64,65,PCM
65,66,Playtech
66,67,PLE Computers
67,68,pricespy_unknown
68,69,RamCity
69,70,Scan.co.uk
70,71,Scorptec
71,72,Senetic
72,73,Shopping Express
73,74,shopRBC
74,75,Skycomp Technology
75,76,SmartTeck.co.uk
76,77,Storm Computers
77,78,SuperBiiz
78,79,Umart
79,80,Vuugo
80,81,YoYoTech
